,boominess,brightness,depth,hardness,roughness,sharpness,warmth
PC1,-0.1610233807453208,0.13710097613964506,-0.16571789191457986,0.10187170834646636,0.13006322562072328,0.10943981200725914,-0.1437196618909324
PC2,-0.15900572254672293,0.20329400472688755,-0.16239703783685003,0.11457588682987174,0.1938075108023571,0.1777883847313106,-0.1684243248527117
PC3,0.0728868633698634,-0.06772744448681006,0.0804686072225998,-0.01266574251520556,-0.011908833671636511,-0.05896462173982519,0.09805293000912697
PC4,0.006398983897029295,-0.06195264065216283,-0.013106673113048849,-0.16708607434257167,-0.12453172813384514,-0.05280011840590708,0.06102009978028865
PC5,0.03274826103052819,-0.038768834344031,0.032151176480739924,-0.06833098216718607,-0.005787633401596744,-0.018438204390317223,0.045111608803128894
PC6,-0.031366014392628594,0.02412707445397924,-0.03922282799464931,0.07731366523934881,0.05697251348909421,0.016843764970758374,-0.03324340234761072
PC7,-0.10170306836404173,0.0952937567016667,-0.11125430164259682,0.07277893045890985,0.0433802680780003,0.09568428853888043,-0.1182808469441299
PC8,0.04061062140293252,-0.04681953356770134,0.055857910689527064,0.011550719906674846,0.02644596215198202,-0.032968445229897426,0.04122839440211283
PC9,0.09464367822312399,-0.03835038656161376,0.08408723498268642,-0.04050395259793242,0.03708790486244015,-0.03737375859995177,0.07324447476705598
PC10,-0.04461298405766841,0.016030195095579743,-0.0429096123661891,-0.05137320504752075,0.042906870163568284,0.0036787224661795,-0.008447691162422867
PC11,0.09418167144269009,-0.060642976192559664,0.1033743344809827,-0.030737661406506675,0.012470092010102882,-0.054690803573338165,0.06272667538195813
PC12,0.1810801544948707,-0.15430712179693326,0.1954832740284835,-0.11379443078557877,-0.025594061532452098,-0.11456455640779971,0.17892056397922626
PC13,-0.0033193147983551284,-0.009525647344621229,-0.008506274678403904,-0.008088423372777334,-0.004877888710663499,-0.00916340731058558,0.0017404014145193402
PC14,-0.1552657772008083,0.14047252670518204,-0.1567983304078845,0.1290528650857185,0.07432985939482258,0.12800244898245358,-0.15543296444288052
PC15,0.048078621709163084,-0.06764761741963735,0.049996676865914136,-0.043787046156180016,-0.03643254808442536,-0.05797166126261455,0.0529675872677662
PC16,0.013494667425928145,0.03409999580281486,0.018124808178158733,0.06638908289391444,0.07944930816629517,0.0281939605485236,-0.02566505058575177
PC17,-0.007054312604629655,0.00249345022516732,-0.01013340467065625,-0.009550460544689133,-0.031827997088564736,0.0026080407014496244,0.005831103220029808
PC18,-0.044916431478013365,0.059103365647272255,-0.054394226228684825,0.05485953407849701,0.03127128948748372,0.05373406775152872,-0.07365560377085105
PC19,-0.03957889472578399,0.08299848440755657,-0.025135573133088396,0.09180781617963185,0.09411013234348098,0.09550229459040721,-0.06229610406665656
PC20,-0.01965661615923265,-0.03638709924046653,-0.03372698554607379,-0.0580180939442228,-0.08821007459078073,-0.021199536057432595,0.006162743297843834
