,explained_variance_ratio
PC1,0.038761698122039154
PC2,0.03316758921836717
PC3,0.02690446198470776
PC4,0.024582230581455783
PC5,0.023000314867449856
PC6,0.02106938983234053
PC7,0.020454964080696802
PC8,0.01943898667521838
PC9,0.01851031526085231
PC10,0.017362499311095594
PC11,0.016572543205930615
PC12,0.01565668470620437
PC13,0.014936681950139315
PC14,0.014557391890385697
PC15,0.013980439318952995
PC16,0.013248787191014367
PC17,0.012725244769746605
PC18,0.012537491353506522
PC19,0.01225474641570074
PC20,0.012048102012268103
