,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
param_ampenv_a_attack,0.04617023078380953,0.1452531655752645,-0.13298197679753715,0.18707033410447224,0.06667405069022557,-0.16217360785119694,0.033236312204470965,-0.03495289547451714,0.0871931044395194,0.07032119973089386,-0.00980327867174978,-0.07128970074389965,-0.016732722261213064,-0.01679961880401544,-0.07049741107969591,-0.05477858385246451,0.007705589821096699,0.044657680389298994,-0.0638698198042036,0.04638965879750742
param_ampenv_a_decay,-0.04408999613169329,-0.041772730194754915,0.033256750688245795,-0.11965615502738952,-0.08946228947341667,-0.07619443296417894,0.0758354841518579,0.11128319149733368,-0.0640781162188096,-0.2998032334667635,0.16973341847450313,-0.12240837806437675,0.03448540382578444,0.0039483408970665355,-0.11146613477049769,0.12719183329263062,-0.04848153082953349,-0.026944558864853224,-0.06883789973157832,0.12509873406305788
param_ampenv_a_release,-0.03617942294966686,0.08898441829682524,0.04508001307705255,0.15601979169651864,0.10932600489914189,-0.09030010496752758,0.00466349304115838,-0.03959807553193863,-0.10438900652628853,-0.07613982913011991,0.037186521186641106,-0.1487953046296302,-0.07101774930037752,-0.09441095379341607,0.12138751178446727,-0.12605008878060703,-0.06492224710870724,0.07408433509792015,-0.035694381931679356,0.1292158090082523
param_ampenv_a_sustain,0.07119166932942794,0.07187514831943875,0.06255371072685173,0.11633110836123067,0.1389579229319172,0.08185598904892422,-0.0145231743759544,0.00544128447857898,0.020501848195853295,0.34178286612458564,-0.12957269581885952,0.12755669713527082,-0.04959034908040352,-0.04679926345039431,0.01968263129242538,-0.0624305278424714,0.0756791394970002,-0.05983298724762253,0.031921208642336184,-0.06563260457648071
param_ampenv_b_attack,-0.1023424404102834,0.15894739797361473,-0.04102783362416304,0.15734934479504667,0.15173383776080063,-0.1368123201612537,0.17421156132481652,-0.09367021493431577,0.06999604930093783,0.00852576156787821,0.006800903111720512,-0.05998097517416821,-0.049751194821832836,0.032589226656077185,-0.039340823591630644,-0.03101283349530673,-0.10766585018888401,0.008793121611072909,-0.04692224016388429,-0.0016267078658162779
param_ampenv_b_decay,-0.1255052864716792,0.13574833747165388,0.13631898293343356,-0.05807659147393529,-0.08118341789254163,-0.0255466604451398,0.16796807136129374,-0.03213646996916523,-0.06266099483673182,-0.2657359679515986,-0.007565254617021051,-0.11437048871711095,0.08216224093314156,0.06409054863648694,-0.04601938121443269,0.12790369719944467,-0.07049601346726733,0.034682031915475114,0.09674713220451978,0.060334001850740726
param_ampenv_b_release,-0.04442278894260293,0.17688242291645256,0.12698442928418985,0.09224599939800332,0.09158810062526451,-0.171224281398359,0.06513553193595036,-0.05306979024885469,-0.0638004877657167,-0.05836990851758794,-0.0770062036264727,-0.11976106083226026,-0.05067889249468989,-0.15033248861174953,0.03322940569866825,-0.11081399417312915,-0.028613120212302574,-0.08284162299306826,0.07492866773258194,-0.042878826278084835
param_ampenv_b_sustain,0.2147681344771769,-0.01619783463760459,-0.011670762587765005,0.08497502635885328,0.0076493222786740145,0.0757501647939546,-0.07158225422186529,0.11440116329558422,0.054498751388086394,0.2532694325967923,0.04105424754237194,0.12903659073019466,-0.09677456140709405,-0.08313203281872944,0.011480046417505219,-0.09149279064869933,0.06271111171736031,-0.07159841323821796,-0.00984582399417816,-0.021522664451394613
param_chorus_delay_ms,0.005333188937612816,0.04342606231305597,0.020879449122235327,0.036791890160783824,0.05535916452647929,0.040823388781801084,-0.09128550684662665,0.009376720237869896,-0.041491276520732645,0.0036472965396367463,0.12640571506738968,0.022848971008943536,0.0059726249962591405,0.07265366757576933,0.07863196091423286,0.06210584903181414,-0.015985187389387374,0.06000587343251354,-0.04492987438539696,0.029737883862868013
param_chorus_depth,-0.061334881507484035,-0.05234462159252383,-0.07999014663610321,0.0934828973368364,-0.1111533682662077,0.0960122425423289,0.11850383372500968,0.08926405892592872,0.07445235409279811,-0.02765080617460304,-0.09202284110954007,0.07286911094822585,0.06450951686192657,-0.05114130230313077,0.05955602943564528,0.039274223852690304,0.07456199952850444,0.010540742759123298,0.18629126655649753,0.06276948069740995
param_chorus_dry_wet,0.03969387563032865,-0.009348197481649508,-0.012776963931489194,-0.12004599395155047,0.031289265478867026,-0.09112957990474108,0.003223220336209476,0.011145258503967734,-0.004824000658674249,0.00947841892481427,-0.00972469879792677,-0.06373301792536684,-0.025954174422233856,0.02385069067462728,0.04978643406917174,-0.13586652288630205,0.10913146826579379,0.02215866054225058,-0.04684444779957386,0.10880536385148876
param_chorus_feedback,0.05137407747803179,0.04434056612732413,0.1457263404379726,-0.07351372807504405,-0.01348522304559055,-0.14931208568220575,0.13567776707079196,-0.12923920232796723,-0.12198649169509895,-0.0915658500721277,0.025385539318790683,0.03368048766261148,-0.01856351485713198,0.14894660096210627,-0.08212437079395746,-0.044424054921504225,0.15564238221217686,0.09702722290573003,0.08711409391844824,0.030566014886033367
param_chorus_rate_hz,-0.013803638018738457,0.04270660924021153,-0.008087994054755819,-0.03717972806580336,0.004395808169569193,-0.04716187538032771,-0.07320354924460243,-0.21224821410837463,-0.09812287873258224,0.0042753561049259925,0.09604394341097316,-0.018381922003524287,-0.05392293099121895,0.08194186859004995,-0.1910656253446992,0.03615805477848914,-0.1557088073559687,0.027541758433090986,-0.04150579741594375,0.0008875621607974393
param_chorus_width,-0.009598076817685252,0.015115334392461592,-0.03216747284688497,0.2056785733734657,-0.0613716799918137,0.18789038264189234,0.08327639810801621,0.1306505670728545,-0.0007530677679214726,-0.017575705541899272,-0.09751460354502736,0.03898130312171996,0.01602385706684877,-0.04969331935608559,0.23669699085782672,0.039018303175165886,-0.060058730297971846,0.04894210929021128,0.0023237224664416634,0.07870085871251478
