metric,ac_descriptor,spectral_centroid,spectral_rolloff_85,spectral_bandwidth,spectral_flatness,low_band_ratio,mid_band_ratio,high_band_ratio,zero_crossing_rate,rms
pearson,brightness,0.6223,0.6135,0.6997,0.1415,-0.6679,0.2911,0.5277,0.6409,-0.2171
pearson,depth,-0.4846,-0.4331,-0.4296,-0.1278,0.8469,-0.5843,-0.3564,-0.4766,0.2902
pearson,hardness,0.5125,0.5242,0.6770,0.1275,-0.5019,0.2061,0.4493,0.5336,-0.0596
pearson,roughness,0.4721,0.4999,0.6103,0.0728,-0.2998,0.0336,0.4388,0.5005,-0.2774
pearson,warmth,-0.6096,-0.5943,-0.6948,-0.1681,0.7450,-0.3723,-0.5085,-0.6193,0.2825
pearson,sharpness,0.6361,0.6223,0.7138,0.1465,-0.5322,0.1174,0.5738,0.6500,-0.1064
pearson,boominess,-0.5172,-0.4718,-0.5015,-0.1118,0.8197,-0.5188,-0.4044,-0.5124,0.2101
spearman,brightness,0.8677,0.8632,0.8683,0.5593,-0.6496,0.2728,0.8455,0.8633,-0.7781
spearman,depth,-0.7885,-0.7564,-0.5761,-0.3948,0.8813,-0.6138,-0.5310,-0.7503,0.7675
spearman,hardness,0.6940,0.6923,0.7999,0.5162,-0.4668,0.2132,0.8221,0.6924,-0.5805
spearman,roughness,0.5859,0.6028,0.7201,0.4828,-0.3012,0.1116,0.6711,0.5966,-0.5124
spearman,warmth,-0.8560,-0.8338,-0.7992,-0.5642,0.7500,-0.3938,-0.7827,-0.8357,0.7813
spearman,sharpness,0.7676,0.7546,0.8088,0.5543,-0.5356,0.1276,0.8620,0.7625,-0.6838
spearman,boominess,-0.8031,-0.7781,-0.6649,-0.4188,0.8784,-0.5796,-0.6439,-0.7715,0.7475
