method,descriptor,mae,rmse,r2,n,audibility_rate,validity_rate
nn,brightness,2.30973219871521,2.924680233001709,0.9797508018262144,200,1.0,1.0
nn,depth,2.818850517272949,3.858311653137207,0.9558971001906246,200,1.0,1.0
nn,hardness,3.4858808517456055,4.665647029876709,0.9394853423930714,200,1.0,1.0
nn,roughness,2.5900843143463135,4.34160041809082,0.9541214101484382,200,1.0,1.0
nn,warmth,2.091008186340332,2.699122905731201,0.9752074183588405,200,1.0,1.0
nn,sharpness,2.8727686405181885,3.9829838275909424,0.9590173074419679,200,1.0,1.0
nn,boominess,2.815371036529541,3.667088747024536,0.9668323937400872,200,1.0,1.0
nn,macro,2.7119565350668773,3.7342049734933034,0.9614731105856062,,1.0,1.0
cvae_mean,brightness,20.083955764770508,24.149703979492188,-0.38062147588547646,200,1.0,1.0
cvae_mean,depth,12.771249771118164,15.84765338897705,0.2559493803312276,200,1.0,1.0
cvae_mean,hardness,21.998641967773438,26.272018432617188,-0.9187733648741714,200,1.0,1.0
cvae_mean,roughness,22.759262084960938,28.18450927734375,-0.9334426959566318,200,1.0,1.0
cvae_mean,warmth,13.37564468383789,16.592613220214844,0.06307245587683818,200,1.0,1.0
cvae_mean,sharpness,20.5374755859375,25.753015518188477,-0.7133243386974866,200,1.0,1.0
cvae_mean,boominess,13.217327117919922,16.297561645507812,0.3448864250566078,200,1.0,1.0
cvae_mean,macro,17.82050813947405,21.871010780334473,-0.32603623059272746,,1.0,1.0
cvae_sample,brightness,14.750213623046875,18.757808685302734,0.16782398068544502,199,0.995,1.0
cvae_sample,depth,10.022883415222168,13.415958404541016,0.4689201524436155,199,0.995,1.0
cvae_sample,hardness,15.583250999450684,19.864913940429688,-0.10319804244264441,199,0.995,1.0
cvae_sample,roughness,16.86396026611328,21.758378982543945,-0.17989552380458518,199,0.995,1.0
cvae_sample,warmth,9.808754920959473,12.59404182434082,0.46138726031891664,199,0.995,1.0
cvae_sample,sharpness,15.562732696533203,19.651159286499023,0.002706635159551607,199,0.995,1.0
cvae_sample,boominess,11.020230293273926,14.853736877441406,0.45711620273413656,199,0.995,1.0
cvae_sample,macro,13.373146602085658,17.270856857299805,0.18212295215634797,,0.995,1.0
