method,descriptor,mae,rmse,r2,n,audibility_rate,validity_rate
nn,brightness,2.432811975479126,3.3136696815490723,0.9730030694940954,1481,1.0,1.0
nn,depth,3.1811678409576416,4.493614196777344,0.9388573961939845,1481,1.0,1.0
nn,hardness,3.6523168087005615,4.982118129730225,0.9277861605541273,1481,1.0,1.0
nn,roughness,3.41416335105896,5.889745712280273,0.915763015775303,1481,1.0,1.0
nn,warmth,2.2225396633148193,3.121826171875,0.9638986527442817,1481,1.0,1.0
nn,sharpness,2.867030620574951,4.353426456451416,0.9463261020350089,1481,1.0,1.0
nn,boominess,2.7897403240203857,3.895442485809326,0.955485518885157,1481,1.0,1.0
nn,macro,2.9371100834437778,4.2928346906389505,0.945874273668851,,1.0,1.0
cvae_mean,brightness,20.618736267089844,24.467578887939453,-0.47189874562997924,1481,1.0,1.0
cvae_mean,depth,13.557243347167969,17.111190795898438,0.11343043786359808,1481,1.0,1.0
cvae_mean,hardness,22.162382125854492,26.299654006958008,-1.0122988266684607,1481,1.0,1.0
cvae_mean,roughness,22.904911041259766,28.067256927490234,-0.9129765104911294,1481,1.0,1.0
cvae_mean,warmth,13.545669555664062,17.021053314208984,-0.07319546170269398,1481,1.0,1.0
cvae_mean,sharpness,20.797809600830078,25.602153778076172,-0.8563235074946616,1481,1.0,1.0
cvae_mean,boominess,13.402742385864258,16.75017738342285,0.17694947059760746,1481,1.0,1.0
cvae_mean,macro,18.141356331961497,22.188437870570592,-0.43375902050367415,,1.0,1.0
cvae_sample,brightness,14.07964038848877,17.592920303344727,0.23759831142763466,1480,0.9993247805536799,1.0
cvae_sample,depth,11.034443855285645,14.094490051269531,0.3983663786995386,1480,0.9993247805536799,1.0
cvae_sample,hardness,14.856291770935059,18.796009063720703,-0.03168470151565983,1480,0.9993247805536799,1.0
cvae_sample,roughness,16.957813262939453,22.22854232788086,-0.19932385510015127,1480,0.9993247805536799,1.0
cvae_sample,warmth,10.800934791564941,13.7643404006958,0.2978264336680688,1480,0.9993247805536799,1.0
cvae_sample,sharpness,15.144847869873047,19.393665313720703,-0.06503441809829513,1480,0.9993247805536799,1.0
cvae_sample,boominess,11.57520866394043,14.761038780212402,0.3604122938182269,1480,0.9993247805536799,1.0
cvae_sample,macro,13.492740086146764,17.233000891549246,0.14259434898562326,,0.9993247805536799,1.0
