method,descriptor,mae,rmse,r2,n,audibility_rate,validity_rate
cvae_mean,brightness,13.402820587158203,17.242246627807617,0.4660029364378885,993,0.6704929101958136,1.0
cvae_mean,depth,24.92043113708496,29.696163177490234,-1.0015498377698848,993,0.6704929101958136,1.0
cvae_mean,hardness,12.795686721801758,16.320472717285156,0.37251608802226444,993,0.6704929101958136,1.0
cvae_mean,roughness,17.080921173095703,21.498865127563477,0.11526586680855921,993,0.6704929101958136,1.0
cvae_mean,warmth,16.434467315673828,20.662046432495117,-0.15303487064346455,993,0.6704929101958136,1.0
cvae_mean,sharpness,12.430859565734863,16.495407104492188,0.41751091720708133,993,0.6704929101958136,1.0
cvae_mean,boominess,20.33797836303711,23.019582748413086,-0.12556179859777217,993,0.6704929101958136,1.0
cvae_mean,macro,16.77188069479806,20.704969133649552,0.013021328780667418,,0.6704929101958136,1.0
cvae_sample,brightness,14.658088684082031,18.383750915527344,0.16907049369847515,1481,1.0,1.0
cvae_sample,depth,11.406862258911133,14.517464637756348,0.3618336298886341,1481,1.0,1.0
cvae_sample,hardness,15.56791877746582,19.473905563354492,-0.10331250133520076,1481,1.0,1.0
cvae_sample,roughness,18.074134826660156,23.865358352661133,-0.38307484212348286,1481,1.0,1.0
cvae_sample,warmth,10.870955467224121,14.067371368408203,0.26695282123312214,1481,1.0,1.0
cvae_sample,sharpness,15.546629905700684,19.733112335205078,-0.10278760032312317,1481,1.0,1.0
cvae_sample,boominess,11.925091743469238,15.23539924621582,0.3190810792140776,1481,1.0,1.0
cvae_sample,macro,14.007097380501884,17.89662320273263,0.07539472575035745,,1.0,1.0
