method,descriptor,n_seeds,mae_mean,mae_std
nn,brightness,1,2.4328,0.0000
nn,depth,1,3.1812,0.0000
nn,hardness,1,3.6523,0.0000
nn,roughness,1,3.4142,0.0000
nn,warmth,1,2.2225,0.0000
nn,sharpness,1,2.8670,0.0000
nn,boominess,1,2.7897,0.0000
nn,macro,1,2.9371,0.0000
cvae_mean,brightness,4,17.4058,3.5628
cvae_mean,depth,4,16.8624,5.4186
cvae_mean,hardness,4,18.1277,4.7489
cvae_mean,roughness,4,21.7532,9.5758
cvae_mean,warmth,4,12.8943,2.6936
cvae_mean,sharpness,4,15.7285,3.7374
cvae_mean,boominess,4,15.7921,3.0993
cvae_mean,macro,4,16.9377,2.3326
cvae_sample,brightness,4,14.4225,0.2564
cvae_sample,depth,4,11.5257,0.3916
cvae_sample,hardness,4,15.1035,0.3501
cvae_sample,roughness,4,17.5241,0.7112
cvae_sample,warmth,4,10.9648,0.1964
cvae_sample,sharpness,4,15.2864,0.2686
cvae_sample,boominess,4,12.1017,0.5473
cvae_sample,macro,4,13.8469,0.3219
