method,descriptor,n_seeds,mae_mean,mae_std
mean,brightness,4,17.2572,0.0000
mean,depth,4,15.6468,0.0000
mean,hardness,4,15.9366,0.0000
mean,roughness,4,16.2441,0.0000
mean,warmth,4,14.3125,0.0000
mean,sharpness,4,16.0616,0.0000
mean,boominess,4,15.0165,0.0000
mean,macro,4,15.7822,0.0000
ridge,brightness,4,12.7773,0.0000
ridge,depth,4,11.8348,0.0000
ridge,hardness,4,12.2562,0.0000
ridge,roughness,4,12.8863,0.0000
ridge,warmth,4,10.3590,0.0000
ridge,sharpness,4,12.7648,0.0000
ridge,boominess,4,11.8123,0.0000
ridge,macro,4,12.0987,0.0000
mlp,brightness,4,11.1560,0.1917
mlp,depth,4,10.5670,0.1016
mlp,hardness,4,10.7437,0.1690
mlp,roughness,4,12.0462,0.2784
mlp,warmth,4,8.9104,0.0757
mlp,sharpness,4,11.2901,0.2327
mlp,boominess,4,10.7649,0.1935
mlp,macro,4,10.7826,0.1207
