column_index,parameter
1,ampenv_a_attack
2,ampenv_a_decay
3,ampenv_a_release
4,ampenv_a_sustain
5,ampenv_b_attack
6,ampenv_b_decay
7,ampenv_b_release
8,ampenv_b_sustain
9,chorus_delay_ms
10,chorus_depth
11,chorus_dry_wet
12,chorus_feedback
13,chorus_rate_hz
14,chorus_width
15,comp_attack_ms
16,comp_release_ms
17,comp_threshold_db
18,delay_dry_wet
19,delay_feedback
20,delay_highcut_hz
21,delay_lowcut_hz
22,delay_smear
23,delay_spread
24,delay_width
25,distort_amount
26,distort_drywet
27,eq_bass_db
28,eq_bass_freq_hz
29,eq_treble_db
30,eq_treble_freq_hz
31,filter_a_cutoff
32,filter_a_db_db
33,filter_a_drive
34,filter_a_reso
35,filter_b_cutoff
36,filter_b_db_db
37,filter_b_drive
38,filter_b_reso
39,filterctl_cutoff
40,filterctl_keytrk
41,filterctl_reso
42,lfo_1_gain
43,lfo_1_offset
44,lfo_2_gain
45,lfo_2_offset
46,mix_a
47,mix_b
48,modenv_1_attack
49,modenv_1_decay
50,modenv_1_release
51,modenv_1_sustain
52,modenv_2_attack
53,modenv_2_decay
54,modenv_2_release
55,modenv_2_sustain
56,modwheel
57,osc_a1_detune
58,osc_a1_fine
59,osc_a1_note
60,osc_a1_octave
61,osc_a1_pan
62,osc_a1_phase_deg
63,osc_a1_stereo
64,osc_a1_voices
65,osc_a1_volume
66,osc_a2_detune
67,osc_a2_fine
68,osc_a2_note
69,osc_a2_octave
70,osc_a2_pan
71,osc_a2_phase_deg
72,osc_a2_stereo
73,osc_a2_voices
74,osc_a2_volume
75,osc_b1_detune
76,osc_b1_fine
77,osc_b1_note
78,osc_b1_octave
79,osc_b1_pan
80,osc_b1_phase_deg
81,osc_b1_stereo
82,osc_b1_voices
83,osc_b1_volume
84,osc_b2_detune
85,osc_b2_fine
86,osc_b2_note
87,osc_b2_octave
88,osc_b2_pan
89,osc_b2_phase_deg
90,osc_b2_stereo
91,osc_b2_voices
92,osc_b2_volume
93,phaser_centerfreq
94,phaser_dry_wet
95,phaser_feedback
96,phaser_lfo_gain
97,phaser_lr_offset
98,phaser_spread
99,phaser_width
100,polyphony
101,reverb_damp
102,reverb_dry_wet
103,reverb_predelay_ms
104,reverb_size
105,reverb_width
106,xmodenv1_dest1am
107,xmodenv1_dest2am
108,xmodenv2_dest1am
109,xmodenv2_dest2am
110,xmodlfo1_dest1am
111,xmodlfo1_dest2am
112,xmodlfo2_dest1am
113,xmodlfo2_dest2am
114,xmodmisc1a_dest1am
115,xmodmisc1a_dest2am
116,xmodmisc1b_dest1am
117,xmodmisc1b_dest2am
118,xmodmisc2a_dest1am
119,xmodmisc2a_dest2am
120,xmodmisc2b_dest1am
121,xmodmisc2b_dest2am
